
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-05-18 21:23:28 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.65ms
  2026-05-18 21:23:28 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.84ms
  2026-05-18 21:23:28 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.99ms
  2026-05-18 21:23:28 /build/assets/dist-B3tsUb2-.js ............... ~ 0.07ms
  2026-05-18 21:23:28 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.23ms
  2026-05-18 21:23:28 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.34ms
  2026-05-18 21:23:28 /build/assets/setup-D9wRgeBX.js .............. ~ 0.54ms
  2026-05-18 21:23:28 /build/assets/label-6rIVHme-.js .............. ~ 0.68ms
  2026-05-18 21:23:28 /build/assets/password-input-Dznm1OER.js ..... ~ 0.39ms
  2026-05-18 21:23:28 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.47ms
  2026-05-18 21:23:28 /build/assets/spinner-BndnXMwk.js ............ ~ 0.29ms
  2026-05-18 21:23:28 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.42ms
  2026-05-18 21:24:30 /setup ....................................... ~ 0.16ms
  2026-05-18 21:24:30 /build/assets/app-2F8C9h0l.css ............... ~ 0.04ms
  2026-05-18 21:24:30 /build/assets/app-DwndY7BJ.js ................ ~ 0.10ms
  2026-05-18 21:24:30 /build/assets/dist-B7FiFQNU.js ............... ~ 0.28ms
  2026-05-18 21:24:30 /build/assets/button-BnY6FpaQ.js ............. ~ 0.42ms
  2026-05-18 21:24:30 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.65ms
  2026-05-18 21:24:30 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.75ms
  2026-05-18 21:24:30 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.98ms
  2026-05-18 21:24:30 /build/assets/dist-B3tsUb2-.js ............... ~ 0.08ms
  2026-05-18 21:24:30 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.22ms
  2026-05-18 21:24:30 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.30ms
  2026-05-18 21:24:30 /build/assets/setup-D9wRgeBX.js .............. ~ 0.46ms
  2026-05-18 21:24:30 /build/assets/label-6rIVHme-.js .............. ~ 0.60ms
  2026-05-18 21:24:30 /build/assets/password-input-Dznm1OER.js ..... ~ 0.73ms
  2026-05-18 21:24:30 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.05ms
  2026-05-18 21:24:30 /build/assets/spinner-BndnXMwk.js ............ ~ 0.15ms
  2026-05-18 21:24:30 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.27ms
  2026-05-18 21:24:31 /setup ....................................... ~ 0.19ms
  2026-05-18 21:24:32 /setup ....................................... ~ 0.03ms
  2026-05-18 21:24:36 /dashboard ................................... ~ 0.11ms
  2026-05-18 21:24:37 /login ....................................... ~ 0.04ms
  2026-05-18 21:24:37 /setup ....................................... ~ 0.03ms
